2	1	16.000000	3	5.333333	9.333333	1	16.000000	3	16.000000	-nan	3.000000	-nan	5.333333	-nan	-nan	-nan	-nan
2	1	38.000000	4	9.500000	38.333333	20	1338.000000	88	66.900000	7536.200000	4.400000	8.357895	15.204545	4.566474	35.290455	1.818512	48.003401
2	1	140.000000	5	28.000000	526.000000	21	1478.000000	93	70.380952	7413.847619	4.428571	7.957143	15.892473	5.459338	34.846072	2.737653	46.260170
2	1	2.000000	1	2.000000	-nan	22	1480.000000	94	67.272727	7273.350649	4.272727	8.112554	15.744681	5.321932	34.913500	2.635358	46.508555
2	1	154.000000	10	15.400000	120.933333	23	1634.000000	104	71.043478	7269.770751	4.521739	9.169960	15.711538	5.860346	33.594505	3.321409	44.186972
2	1	20.000000	4	5.000000	6.666667	24	1654.000000	108	68.916667	7062.253623	4.500000	8.782609	15.314815	5.812650	32.137646	3.349263	41.785884
2	1	40.000000	4	10.000000	18.666667	25	1694.000000	112	67.760000	6801.440000	4.480000	8.426667	15.125000	5.938048	31.020707	3.543151	39.876224
2	1	10.000000	1	10.000000	-nan	26	1704.000000	113	65.538462	6657.698462	4.346154	8.555385	15.079646	5.894386	31.122740	3.521176	40.092980
2	1	2.000000	1	2.000000	-nan	27	1706.000000	114	63.185185	6551.156695	4.222222	8.641026	14.964912	5.787609	31.118712	3.434785	40.173020
2	1	8.000000	2	4.000000	8.000000	28	1714.000000	116	61.214286	6417.285714	4.142857	8.497354	14.775862	5.717921	30.631045	3.398891	39.426222
2	1	46.000000	3	15.333333	389.333333	29	1760.000000	119	60.689655	6196.078818	4.103448	8.238916	14.789916	5.918460	30.093820	3.640219	38.424839
2	1	310.000000	10	31.000000	735.333333	30	2070.000000	129	69.000000	8054.275862	4.300000	9.113793	16.046512	6.538900	32.310293	4.096056	41.055108
2	1	20.000000	3	6.666667	25.333333	31	2090.000000	132	67.419355	7863.251613	4.258065	8.864516	15.833333	6.521884	31.568712	4.123435	39.898272
2	1	180.000000	9	20.000000	54.000000	32	2270.000000	141	70.937500	8005.673387	4.406250	9.281250	16.099291	7.026539	31.197305	4.679592	39.044696
2	1	38.000000	5	7.600000	22.800000	33	2308.000000	146	69.939394	7788.371212	4.424242	9.001894	15.808219	7.041897	30.125221	4.760263	37.411816
2	1	70.000000	2	35.000000	18.000000	34	2378.000000	148	69.941176	7552.360071	4.352941	8.901961	16.067568	7.345018	30.273637	5.077702	37.462519
2	1	2.000000	1	2.000000	-nan	35	2380.000000	149	68.000000	7462.117647	4.257143	8.961345	15.973154	7.251248	30.250597	4.995178	37.488621
2	1	12.000000	3	4.000000	4.000000	36	2392.000000	152	66.444444	7336.025397	4.222222	8.749206	15.736842	7.172929	29.621940	4.952698	36.579148
2	1	0.000000	0	-nan	-nan	36	2392.000000	152	66.444444	7336.025397	4.222222	8.749206	15.736842	7.172929	29.621940	4.952698	36.579148
2	1	264.000000	4	66.000000	6.666667	37	2656.000000	156	71.783784	8187.063063	4.216216	8.507508	17.025641	8.020380	31.430625	5.675630	38.540335
2	1	88.000000	8	11.000000	44.571429	38	2744.000000	164	72.210526	7972.711238	4.315789	8.654339	16.731707	8.113517	30.326787	5.858963	36.935571
2	1	0.000000	0	-nan	-nan	38	2744.000000	164	72.210526	7972.711238	4.315789	8.654339	16.731707	8.113517	30.326787	5.858963	36.935571
2	1	22.000000	3	7.333333	25.333333	39	2766.000000	167	70.923077	7827.546559	4.282051	8.470985	16.562874	8.084033	29.833913	5.861792	36.224730
2	1	38.000000	5	7.600000	14.800000	40	2804.000000	172	70.100000	7653.938462	4.300000	8.266667	16.302326	8.069766	29.013588	5.901569	35.047053
2	1	362.000000	9	40.222222	296.444444	41	3166.000000	181	77.219512	9540.775610	4.414634	8.598780	17.491713	8.686726	30.968223	6.361774	37.301959
