-nan	-nan
63.5889	71.6584
63.6417	71.5955
63.6674	71.5686
63.6431	71.5967
63.6827	71.5561
63.7028	71.5422
63.732	71.5147
63.7822	71.4644
63.8334	71.4182
63.8835	71.3719
63.9205	71.3393
63.9395	71.3243
63.8238	71.4567
63.8668	71.4139
63.9025	71.3777
63.9423	71.3396
63.9798	71.3037
64.0124	71.2684
64.0427	71.2423
64.0599	71.234
64.052	71.2391
64.0875	71.2023
64.1221	71.1752
64.147	71.1536
64.1856	71.1175
64.2239	71.0848
64.1423	71.1721
64.1594	71.1539
64.1909	71.121
64.2183	71.1078
64.2552	71.0753


-nan	-nan
47.6643	95.6831
47.6208	95.6996
52.367	87.1178
55.0928	82.8691
53.8225	84.9173
54.9172	83.3329
56.2214	81.4532
57.0332	80.3013
56.1515	81.5231
57.1574	80.0471
57.7409	79.2429
58.3663	78.3757
58.1274	78.664
58.4968	78.1421
59.0055	77.4097
58.9188	77.5433
59.1903	77.1782
59.597	76.6008
59.9544	76.105
60.0066	76.0156
60.3356	75.5895
60.5358	75.3236
60.8052	74.9738
60.9674	74.7557
61.1252	74.5398
61.3313	74.2803
61.5465	74.0219
61.4658	74.1186
61.6174	73.9347
61.7864	73.7461
61.6126	73.9226
61.783	73.7175
61.9024	73.5448
62.0134	73.4085
62.118	73.2755
62.2641	73.1144
61.8109	73.6262
61.7736	73.672
61.8648	73.5631
61.9905	73.4198
62.0866	73.3135
62.208	73.1693
61.9684	73.4444
62.0858	73.3024
62.1978	73.1762
62.3018	73.0506
62.3361	72.9945
62.4279	72.8982
62.4383	72.8791
62.5142	72.7965
62.561	72.7453
62.6273	72.6603
62.6326	72.6578
62.723	72.563
62.7455	72.5368
62.7391	72.5356
62.782	72.4931
62.8544	72.4129
62.9366	72.3685
62.9752	72.3215
63.0421	72.2465
63.1109	72.1713
62.964	72.3491
63.0239	72.272
63.0921	72.2035
63.1398	72.1472
63.1944	72.0875
63.2547	72.0284
63.3159	71.9623
63.3525	71.9172
63.3756	71.8936
63.4315	71.8309
63.4836	71.7767
63.4324	71.8422
63.4556	71.8214
63.4962	71.781
63.5002	71.7854
63.5529	71.7363
63.5662	71.7294
63.5694	71.7302
63.6073	71.693
63.6196	71.6838
63.6515	71.651
63.6986	71.6042
63.7411	71.5634
63.7775	71.5237
63.8192	71.4836
